Frame_Index,System_Time_s,Human_Readable
0,1775226460.250424,16:27:40.250
1,1775226460.2655356,16:27:40.265
2,1775226460.2694862,16:27:40.269
3,1775226460.280752,16:27:40.280
4,1775226460.285884,16:27:40.285
5,1775226460.3199422,16:27:40.319
6,1775226460.3269727,16:27:40.326
7,1775226460.3447652,16:27:40.344
8,1775226460.3543558,16:27:40.354
9,1775226460.3604763,16:27:40.360
10,1775226460.3624768,16:27:40.362
11,1775226460.3768349,16:27:40.376
12,1775226460.3798807,16:27:40.379
13,1775226460.3952801,16:27:40.395
14,1775226460.4208019,16:27:40.420
15,1775226460.4257514,16:27:40.425
16,1775226460.429792,16:27:40.429
17,1775226460.4400551,16:27:40.440
18,1775226460.4440587,16:27:40.444
19,1775226460.4566085,16:27:40.456
20,1775226460.4726052,16:27:40.472
21,1775226460.4756062,16:27:40.475
22,1775226460.4884357,16:27:40.488
23,1775226460.4913833,16:27:40.491
24,1775226460.5052068,16:27:40.505
25,1775226460.5333686,16:27:40.533
26,1775226460.53738,16:27:40.537
27,1775226460.540483,16:27:40.540
28,1775226460.5534728,16:27:40.553
29,1775226460.557055,16:27:40.557
30,1775226460.5688434,16:27:40.568
31,1775226460.571908,16:27:40.571
32,1775226460.585461,16:27:40.585
33,1775226460.6006021,16:27:40.600
34,1775226460.6036701,16:27:40.603
35,1775226460.6256802,16:27:40.625
36,1775226460.6472,16:27:40.647
37,1775226460.6491988,16:27:40.649
38,1775226460.6531968,16:27:40.653
39,1775226460.680224,16:27:40.680
40,1775226460.6842253,16:27:40.684
41,1775226460.6973364,16:27:40.697
42,1775226460.7013392,16:27:40.701
43,1775226460.7133877,16:27:40.713
44,1775226460.716323,16:27:40.716
45,1775226460.734539,16:27:40.734
46,1775226460.7532828,16:27:40.753
47,1775226460.7618802,16:27:40.761
48,1775226460.7649164,16:27:40.764
49,1775226460.7771516,16:27:40.777
50,1775226460.780201,16:27:40.780
51,1775226460.7923954,16:27:40.792
52,1775226460.7964156,16:27:40.796
53,1775226460.8094447,16:27:40.809
54,1775226460.8124177,16:27:40.812
55,1775226460.8258798,16:27:40.825
56,1775226460.8308585,16:27:40.830
57,1775226460.8471308,16:27:40.847
58,1775226460.864701,16:27:40.864
59,1775226460.8726463,16:27:40.872
60,1775226460.8756132,16:27:40.875
61,1775226460.8889863,16:27:40.888
62,1775226460.8929892,16:27:40.892
63,1775226460.9046922,16:27:40.904
