Frame_Index,System_Time_s,Human_Readable
0,1775225858.5710728,16:17:38.571
1,1775225858.5765684,16:17:38.576
2,1775225858.5805893,16:17:38.580
3,1775225858.5925941,16:17:38.592
4,1775225858.5955958,16:17:38.595
5,1775225858.608562,16:17:38.608
6,1775225858.6118786,16:17:38.611
7,1775225858.6242704,16:17:38.624
8,1775225858.627502,16:17:38.627
9,1775225858.6415956,16:17:38.641
10,1775225858.6585944,16:17:38.658
11,1775225858.6675847,16:17:38.667
12,1775225858.681838,16:17:38.681
13,1775225858.6889658,16:17:38.688
14,1775225858.6910064,16:17:38.691
15,1775225858.7200415,16:17:38.720
16,1775225858.7230122,16:17:38.723
17,1775225858.7388477,16:17:38.738
18,1775225858.74183,16:17:38.741
19,1775225858.7533457,16:17:38.753
20,1775225858.757872,16:17:38.757
21,1775225858.770109,16:17:38.770
22,1775225858.7924118,16:17:38.792
23,1775225858.8004987,16:17:38.800
24,1775225858.8035052,16:17:38.803
25,1775225858.8173077,16:17:38.817
26,1775225858.821358,16:17:38.821
27,1775225858.8336122,16:17:38.833
28,1775225858.837622,16:17:38.837
29,1775225858.84941,16:17:38.849
30,1775225858.8534684,16:17:38.853
31,1775225858.8658864,16:17:38.865
32,1775225858.8698502,16:17:38.869
33,1775225858.880619,16:17:38.880
34,1775225858.9139237,16:17:38.913
35,1775225858.9189188,16:17:38.918
36,1775225858.9314463,16:17:38.931
37,1775225858.933438,16:17:38.933
38,1775225858.9458241,16:17:38.945
39,1775225858.9488354,16:17:38.948
40,1775225858.962484,16:17:38.962
41,1775225858.9655218,16:17:38.965
42,1775225858.977816,16:17:38.977
43,1775225858.9808037,16:17:38.980
44,1775225859.0018067,16:17:39.001
45,1775225859.0224864,16:17:39.022
46,1775225859.0275142,16:17:39.027
47,1775225859.052955,16:17:39.052
48,1775225859.056947,16:17:39.056
49,1775225859.0599818,16:17:39.059
50,1775225859.074458,16:17:39.074
51,1775225859.077451,16:17:39.077
52,1775225859.090145,16:17:39.090
53,1775225859.092094,16:17:39.092
54,1775225859.116191,16:17:39.116
55,1775225859.1291473,16:17:39.129
56,1775225859.1497083,16:17:39.149
57,1775225859.1602383,16:17:39.160
58,1775225859.1702569,16:17:39.170
59,1775225859.1865268,16:17:39.186
60,1775225859.1895208,16:17:39.189
61,1775225859.2026043,16:17:39.202
62,1775225859.207603,16:17:39.207
63,1775225859.2290745,16:17:39.229
64,1775225859.239037,16:17:39.239
65,1775225859.249711,16:17:39.249
66,1775225859.2526538,16:17:39.252
67,1775225859.2653072,16:17:39.265
68,1775225859.2673087,16:17:39.267
69,1775225859.2806463,16:17:39.280
70,1775225859.2837772,16:17:39.283
71,1775225859.2988968,16:17:39.298
72,1775225859.3021102,16:17:39.302
73,1775225859.313223,16:17:39.313
74,1775225859.3344867,16:17:39.334
75,1775225859.3414845,16:17:39.341
76,1775225859.3454535,16:17:39.345
77,1775225859.3668818,16:17:39.366
78,1775225859.3768218,16:17:39.376
79,1775225859.379963,16:17:39.379
80,1775225859.3941686,16:17:39.394
81,1775225859.395768,16:17:39.395
82,1775225859.4083204,16:17:39.408
83,1775225859.4113338,16:17:39.411
84,1775225859.425846,16:17:39.425
85,1775225859.4288406,16:17:39.428
86,1775225859.4509513,16:17:39.450
87,1775225859.4579022,16:17:39.457
88,1775225859.4608943,16:17:39.460
89,1775225859.4721553,16:17:39.472
90,1775225859.4751656,16:17:39.475
91,1775225859.4902382,16:17:39.490
92,1775225859.4922843,16:17:39.492
93,1775225859.504164,16:17:39.504
94,1775225859.50619,16:17:39.506
95,1775225859.5212011,16:17:39.521
96,1775225859.5232084,16:17:39.523
97,1775225859.5371604,16:17:39.537
98,1775225859.5415106,16:17:39.541
99,1775225859.557769,16:17:39.557
100,1775225859.563708,16:17:39.563
101,1775225859.5691872,16:17:39.569
102,1775225859.5847766,16:17:39.584
103,1775225859.586796,16:17:39.586
104,1775225859.6004102,16:17:39.600
105,1775225859.6024275,16:17:39.602
106,1775225859.6167226,16:17:39.616
107,1775225859.6187484,16:17:39.618
108,1775225859.6320844,16:17:39.632
109,1775225859.6351364,16:17:39.635
110,1775225859.649495,16:17:39.649
111,1775225859.6684787,16:17:39.668
112,1775225859.6807566,16:17:39.680
113,1775225859.6827512,16:17:39.682
114,1775225859.6960542,16:17:39.696
115,1775225859.6990683,16:17:39.699
116,1775225859.7131052,16:17:39.713
117,1775225859.7286284,16:17:39.728
118,1775225859.7310011,16:17:39.731
119,1775225859.7446797,16:17:39.744
120,1775225859.7466943,16:17:39.746
121,1775225859.764875,16:17:39.764
122,1775225859.777878,16:17:39.777
123,1775225859.7928271,16:17:39.792
124,1775225859.7958276,16:17:39.795
125,1775225859.810275,16:17:39.810
126,1775225859.8132644,16:17:39.813
127,1775225859.8252091,16:17:39.825
128,1775225859.8292503,16:17:39.829
129,1775225859.8427181,16:17:39.842
130,1775225859.8575716,16:17:39.857
131,1775225859.8636155,16:17:39.863
132,1775225859.8805957,16:17:39.880
133,1775225859.8976572,16:17:39.897
134,1775225859.9054797,16:17:39.905
135,1775225859.9084687,16:17:39.908
136,1775225859.9227028,16:17:39.922
137,1775225859.925697,16:17:39.925
138,1775225859.9386933,16:17:39.938
139,1775225859.9416454,16:17:39.941
140,1775225859.9545581,16:17:39.954
141,1775225859.958605,16:17:39.958
142,1775225859.9704769,16:17:39.970
143,1775225859.9764683,16:17:39.976
144,1775225860.006594,16:17:40.006
145,1775225860.0136197,16:17:40.013
146,1775225860.0176132,16:17:40.017
147,1775225860.0499167,16:17:40.049
148,1775225860.053918,16:17:40.053
149,1775225860.0660203,16:17:40.066
150,1775225860.0690675,16:17:40.069
151,1775225860.0814383,16:17:40.081
152,1775225860.0864964,16:17:40.086
153,1775225860.1021476,16:17:40.102
154,1775225860.1186128,16:17:40.118
155,1775225860.1510808,16:17:40.151
156,1775225860.1540906,16:17:40.154
157,1775225860.1609142,16:17:40.160
158,1775225860.1629293,16:17:40.162
159,1775225860.1772792,16:17:40.177
160,1775225860.179339,16:17:40.179
161,1775225860.1943414,16:17:40.194
162,1775225860.1983593,16:17:40.198
163,1775225860.2159464,16:17:40.215
164,1775225860.2259047,16:17:40.225
165,1775225860.2289054,16:17:40.228
166,1775225860.241798,16:17:40.241
167,1775225860.2645054,16:17:40.264
168,1775225860.2731338,16:17:40.273
169,1775225860.277176,16:17:40.277
170,1775225860.2912488,16:17:40.291
171,1775225860.3118684,16:17:40.311
172,1775225860.3208902,16:17:40.320
173,1775225860.3258722,16:17:40.325
174,1775225860.337728,16:17:40.337
175,1775225860.3407662,16:17:40.340
176,1775225860.3534482,16:17:40.353
177,1775225860.3564842,16:17:40.356
178,1775225860.3704162,16:17:40.370
179,1775225860.3734405,16:17:40.373
180,1775225860.3861907,16:17:40.386
181,1775225860.4029984,16:17:40.402
182,1775225860.4240518,16:17:40.424
183,1775225860.4380367,16:17:40.438
184,1775225860.470874,16:17:40.470
185,1775225860.4748402,16:17:40.474
186,1775225860.480838,16:17:40.480
187,1775225860.4848387,16:17:40.484
188,1775225860.4974482,16:17:40.497
189,1775225860.5010705,16:17:40.501
190,1775225860.5228915,16:17:40.522
191,1775225860.5399013,16:17:40.539
192,1775225860.5463176,16:17:40.546
193,1775225860.5493617,16:17:40.549
194,1775225860.5621219,16:17:40.562
195,1775225860.565151,16:17:40.565
196,1775225860.5774775,16:17:40.577
197,1775225860.5804715,16:17:40.580
198,1775225860.5934384,16:17:40.593
199,1775225860.597389,16:17:40.597
200,1775225860.6099086,16:17:40.609
201,1775225860.6131954,16:17:40.613
202,1775225860.6257713,16:17:40.625
203,1775225860.6447713,16:17:40.644
204,1775225860.6548195,16:17:40.654
205,1775225860.6597595,16:17:40.659
206,1775225860.6633756,16:17:40.663
207,1775225860.674304,16:17:40.674
208,1775225860.6783059,16:17:40.678
209,1775225860.6893845,16:17:40.689
210,1775225860.6923242,16:17:40.692
211,1775225860.7054825,16:17:40.705
212,1775225860.7094822,16:17:40.709
213,1775225860.7221696,16:17:40.722
214,1775225860.725151,16:17:40.725
215,1775225860.749134,16:17:40.749
216,1775225860.7594533,16:17:40.759
217,1775225860.7699618,16:17:40.769
218,1775225860.774001,16:17:40.774
219,1775225860.7863793,16:17:40.786
220,1775225860.8026924,16:17:40.802
221,1775225860.806738,16:17:40.806
222,1775225860.8176863,16:17:40.817
223,1775225860.8207324,16:17:40.820
224,1775225860.8344557,16:17:40.834
225,1775225860.8404548,16:17:40.840
226,1775225860.852882,16:17:40.852
227,1775225860.871282,16:17:40.871
228,1775225860.881242,16:17:40.881
229,1775225860.8832984,16:17:40.883
230,1775225860.898437,16:17:40.898
231,1775225860.9003818,16:17:40.900
232,1775225860.9141119,16:17:40.914
233,1775225860.931067,16:17:40.931
234,1775225860.9341063,16:17:40.934
235,1775225860.9478798,16:17:40.947
236,1775225860.954365,16:17:40.954
237,1775225860.973678,16:17:40.973
238,1775225860.9866405,16:17:40.986
239,1775225861.020669,16:17:41.020
240,1775225861.0266404,16:17:41.026
241,1775225861.0416873,16:17:41.041
242,1775225861.0446863,16:17:41.044
243,1775225861.058038,16:17:41.058
244,1775225861.0870864,16:17:41.087
245,1775225861.0910988,16:17:41.091
246,1775225861.0941143,16:17:41.094
247,1775225861.1050303,16:17:41.105
248,1775225861.1080732,16:17:41.108
249,1775225861.1221745,16:17:41.122
250,1775225861.125125,16:17:41.125
251,1775225861.136927,16:17:41.136
252,1775225861.1400704,16:17:41.140
253,1775225861.153559,16:17:41.153
254,1775225861.1572053,16:17:41.157
255,1775225861.1711338,16:17:41.171
256,1775225861.1991293,16:17:41.199
257,1775225861.20372,16:17:41.203
258,1775225861.206748,16:17:41.206
259,1775225861.2186604,16:17:41.218
260,1775225861.2216322,16:17:41.221
261,1775225861.2337618,16:17:41.233
262,1775225861.236773,16:17:41.236
263,1775225861.249359,16:17:41.249
264,1775225861.2534144,16:17:41.253
265,1775225861.265477,16:17:41.265
266,1775225861.2694356,16:17:41.269
267,1775225861.2826424,16:17:41.282
268,1775225861.29174,16:17:41.291
269,1775225861.309949,16:17:41.309
270,1775225861.313962,16:17:41.313
271,1775225861.3309166,16:17:41.330
272,1775225861.33397,16:17:41.333
273,1775225861.3469381,16:17:41.346
274,1775225861.3499856,16:17:41.349
275,1775225861.3624911,16:17:41.362
276,1775225861.3655336,16:17:41.365
277,1775225861.378446,16:17:41.378
278,1775225861.381431,16:17:41.381
279,1775225861.3984978,16:17:41.398
280,1775225861.4164138,16:17:41.416
281,1775225861.4253855,16:17:41.425
282,1775225861.4293833,16:17:41.429
283,1775225861.4421217,16:17:41.442
284,1775225861.4451256,16:17:41.445
285,1775225861.4578109,16:17:41.457
286,1775225861.474498,16:17:41.474
287,1775225861.478498,16:17:41.478
288,1775225861.489498,16:17:41.489
289,1775225861.492539,16:17:41.492
290,1775225861.5186417,16:17:41.518
291,1775225861.5298486,16:17:41.529
292,1775225861.5379195,16:17:41.537
293,1775225861.5409462,16:17:41.540
294,1775225861.5545106,16:17:41.554
295,1775225861.557462,16:17:41.557
296,1775225861.5705884,16:17:41.570
297,1775225861.5736046,16:17:41.573
298,1775225861.587383,16:17:41.587
299,1775225861.605611,16:17:41.605
300,1775225861.628734,16:17:41.628
301,1775225861.6447358,16:17:41.644
302,1775225861.6622713,16:17:41.662
303,1775225861.667233,16:17:41.667
304,1775225861.6707077,16:17:41.670
305,1775225861.6814773,16:17:41.681
306,1775225861.6835,16:17:41.683
307,1775225861.6987505,16:17:41.698
308,1775225861.7017481,16:17:41.701
309,1775225861.7160318,16:17:41.716
310,1775225861.7404163,16:17:41.740
311,1775225861.7448075,16:17:41.744
312,1775225861.7478392,16:17:41.747
313,1775225861.7626247,16:17:41.762
314,1775225861.765606,16:17:41.765
315,1775225861.7780738,16:17:41.778
316,1775225861.781142,16:17:41.781
317,1775225861.7935483,16:17:41.793
318,1775225861.7964942,16:17:41.796
319,1775225861.8093915,16:17:41.809
320,1775225861.8134375,16:17:41.813
321,1775225861.8263848,16:17:41.826
322,1775225861.846043,16:17:41.846
323,1775225861.857062,16:17:41.857
324,1775225861.8744998,16:17:41.874
325,1775225861.8795514,16:17:41.879
326,1775225861.8904107,16:17:41.890
327,1775225861.8934026,16:17:41.893
328,1775225861.9059935,16:17:41.905
329,1775225861.9089208,16:17:41.908
330,1775225861.9214761,16:17:41.921
331,1775225861.9245121,16:17:41.924
332,1775225861.9394805,16:17:41.939
333,1775225861.9559174,16:17:41.955
334,1775225861.9639063,16:17:41.963
335,1775225861.9690714,16:17:41.969
336,1775225861.9720871,16:17:41.972
337,1775225861.9856887,16:17:41.985
338,1775225862.0021977,16:17:42.002
339,1775225862.0057733,16:17:42.005
340,1775225862.0173225,16:17:42.017
341,1775225862.0213184,16:17:42.021
342,1775225862.0334466,16:17:42.033
343,1775225862.037403,16:17:42.037
344,1775225862.056397,16:17:42.056
345,1775225862.0736265,16:17:42.073
346,1775225862.0817015,16:17:42.081
347,1775225862.0846424,16:17:42.084
348,1775225862.0978703,16:17:42.097
349,1775225862.1008177,16:17:42.100
350,1775225862.1134574,16:17:42.113
351,1775225862.117501,16:17:42.117
352,1775225862.130493,16:17:42.130
353,1775225862.146826,16:17:42.146
354,1775225862.1532035,16:17:42.153
355,1775225862.1830955,16:17:42.183
356,1775225862.188096,16:17:42.188
357,1775225862.1931174,16:17:42.193
358,1775225862.198116,16:17:42.198
359,1775225862.2092113,16:17:42.209
360,1775225862.2131803,16:17:42.213
361,1775225862.2260246,16:17:42.226
362,1775225862.2300708,16:17:42.230
363,1775225862.2413995,16:17:42.241
364,1775225862.2453985,16:17:42.245
365,1775225862.2584488,16:17:42.258
366,1775225862.2786732,16:17:42.278
367,1775225862.2967222,16:17:42.296
368,1775225862.3072312,16:17:42.307
369,1775225862.3102732,16:17:42.310
370,1775225862.3227108,16:17:42.322
371,1775225862.3257375,16:17:42.325
372,1775225862.3391318,16:17:42.339
373,1775225862.3411968,16:17:42.341
374,1775225862.355434,16:17:42.355
375,1775225862.3584747,16:17:42.358
376,1775225862.3716688,16:17:42.371
377,1775225862.3847055,16:17:42.384
378,1775225862.4048223,16:17:42.404
379,1775225862.4083967,16:17:42.408
380,1775225862.417457,16:17:42.417
381,1775225862.4214509,16:17:42.421
382,1775225862.4341,16:17:42.434
383,1775225862.4380941,16:17:42.438
384,1775225862.449096,16:17:42.449
385,1775225862.453107,16:17:42.453
386,1775225862.4664924,16:17:42.466
387,1775225862.4704456,16:17:42.470
388,1775225862.483437,16:17:42.483
389,1775225862.5126376,16:17:42.512
390,1775225862.5156322,16:17:42.515
391,1775225862.5186296,16:17:42.518
392,1775225862.530526,16:17:42.530
393,1775225862.5461802,16:17:42.546
394,1775225862.5492227,16:17:42.549
395,1775225862.5627818,16:17:42.562
396,1775225862.5658474,16:17:42.565
397,1775225862.578607,16:17:42.578
398,1775225862.581614,16:17:42.581
399,1775225862.6025817,16:17:42.602
400,1775225862.6232018,16:17:42.623
401,1775225862.6272104,16:17:42.627
402,1775225862.642447,16:17:42.642
403,1775225862.6464837,16:17:42.646
404,1775225862.65753,16:17:42.657
405,1775225862.6735241,16:17:42.673
406,1775225862.6775131,16:17:42.677
407,1775225862.68947,16:17:42.689
408,1775225862.692442,16:17:42.692
409,1775225862.7119803,16:17:42.711
410,1775225862.7300441,16:17:42.730
411,1775225862.7383754,16:17:42.738
412,1775225862.7413712,16:17:42.741
413,1775225862.7548888,16:17:42.754
414,1775225862.757956,16:17:42.757
415,1775225862.7698803,16:17:42.769
416,1775225862.7739098,16:17:42.773
417,1775225862.785391,16:17:42.785
418,1775225862.7883937,16:17:42.788
419,1775225862.8016648,16:17:42.801
420,1775225862.827041,16:17:42.827
421,1775225862.8340385,16:17:42.834
422,1775225862.849369,16:17:42.849
423,1775225862.853372,16:17:42.853
424,1775225862.8663998,16:17:42.866
425,1775225862.870799,16:17:42.870
426,1775225862.8823714,16:17:42.882
427,1775225862.8863726,16:17:42.886
428,1775225862.8984058,16:17:42.898
429,1775225862.9014559,16:17:42.901
